Cyprus	CYPRUS	Cyprus
Cyprus (salamis)	TURKEY: ANTAKYA (ANTIOCH); CYPRUS (SALAMIS)	Cyprus (salamis)
Czech republic	CZECH REPUBLIC:  KARVINA	Czech republic
Czechoslovakia	HUNGARY:  GYOR; CZECHOSLOVAKIA:  KOMAROM	Czechoslovakia
Datong	CHINA:  SHANXI AND HEBEI PROVINCES; DATONG	Datong
Djibouti	DJIBOUTI: GALAFI, YABAKI;  ETHIOPIA	Djibouti
Dominican republic	DOMINICAN REPUBLIC:  SANTO DOMINGO	Dominican republic
Dr congo	UGANDA: KICHWAMBA, BONDIBOGYO;  TANZANIA;  DR CONGO	Dr congo
E. awa, tokushima prefecture	E. AWA, TOKUSHIMA PREFECTURE	E. awa, tokushima prefecture
E. hokkaido island, japan	E. HOKKAIDO ISLAND, JAPAN	E. hokkaido island, japan
E. luzon island, philippines	E. LUZON ISLAND, PHILIPPINES	E. luzon island, philippines
E. sporades islands, aegean islands	E. SPORADES ISLANDS, AEGEAN ISLANDS	E. sporades islands, aegean islands
East mediterranean sea	EAST MEDITERRANEAN SEA	East mediterranean sea
East pacific ridge	EAST PACIFIC RIDGE	East pacific ridge
Ecuador	ECUADOR	Ecuador
Egypt	EGYPT:  SIWA OASIS; LIBYA	Egypt
El salvador	EL SALVADOR:  SAN MARCOS	El salvador
El salvador-guatemala	EL SALVADOR-GUATEMALA	El salvador-guatemala
Enshunada	ENSHUNADA	Enshunada
Eritrea	ERITREA:  MASSAWA, MUNCULLO	Eritrea
Ethiopia	ETHIOPIA	Ethiopia
Fiji	FIJI: KADAVU	Fiji
Fiji islands	FIJI ISLANDS	Fiji islands
Flores sea	FLORES SEA	Flores sea
France	FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ	France
French guiana	FRENCH GUIANA:  CAYENNE	French guiana
French polynesia	FRENCH POLYNESIA:  TAHITI	French polynesia
Futuna island	FUTUNA ISLAND	Futuna island
Gabon	GABON	Gabon
Gaul	UNITED KINGDOM:  CHANNEL ISLANDS; GAUL	Gaul
Georgia	GEORGIA:  DYOSCURIA [SUKHUMI]	Georgia
Germany	GERMANY:  BAVARIA:  NORDLINGEN	Germany
Ghana	GHANA:  FORT DUMA, AWOIN	Ghana
Gisborne	GISBORNE	Gisborne
Greece	GREECE:  THERA ISLAND (SANTORINI)	Greece
Greece, turkey	GREECE, TURKEY	Greece, turkey
Greece-albania	GREECE-ALBANIA	Greece-albania
