,Location Name
SAINT KITTS AND NEVIS,ANTIGUA; SAINT KITTS AND NEVIS
ARGENTINA,"ARGENTINA:  SANTIAGO, ESTECO, RIO DE LAS PIEDRAS"
SEIKAIDO-NANKAIDO,SEIKAIDO-NANKAIDO
CASCADIA SUBDUCTION ZONE,CASCADIA SUBDUCTION ZONE
HAITI,"HAITI:  LEOGANE,PETIT GOAVE"
MARTINIQUE,MARTINIQUE
BHUTAN,INDIA:  ARUNACHAL; BHUTAN
VERACRUZ,MEXICO: OAXACA; VERACRUZ
MYNAMAR (BURMA),MYNAMAR (BURMA):  AVA (INNWA)
"SEIKAIDO, JAPAN","SEIKAIDO, JAPAN"
MASSACHUSETTS,MASSACHUSETTS;  NEW HAMPSHIRE
NEW HAMPSHIRE,MASSACHUSETTS;  NEW HAMPSHIRE
KOORI,KOORI
S. MEXICO,S. MEXICO
"E. LUZON ISLAND, PHILIPPINES","E. LUZON ISLAND, PHILIPPINES"
CRETE,GREECE: DODECANESE; CRETE; CYPRUS; EGYPT
"W. LUZON ISLAND, PHILIPPINES","W. LUZON ISLAND, PHILIPPINES"
COSTA RICA,COSTA RICA:  MATINA
MYANMAR (BURMA) COAST,MYANMAR (BURMA) COAST
GREECE-BULGARIA,GREECE-BULGARIA:  THESSALONIKI; BULGARIA:  PLOVDIV
LEBANON-SYRIA,"LEBANON-SYRIA:  BAALBEC; SYRIA: DAMASCUS, ANTIOCH"
MONGOLIA,RUSSIA; MONGOLIA
BANGLADESH,"BANGLADESH:  CHITTAGONG, DACCA, ARRACAN"
"N. SANRIKU, JAPAN","N. SANRIKU, JAPAN"
CZECHOSLOVAKIA,HUNGARY:  GYOR; CZECHOSLOVAKIA:  KOMAROM
TRINIDAD,"VENEZUELA:  CUMANA, SAN JUAN BAUTISTA; TRINIDAD"
MARTINIQUE & BARBADOS,MARTINIQUE & BARBADOS
PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND
"SW. KYUSHU ISLAND, JAPAN","SW. KYUSHU ISLAND, JAPAN"
FRENCH GUIANA,FRENCH GUIANA:  CAYENNE
ALASKA PENINSULA,ALASKA PENINSULA: UNGA ISLAND
SAINT LUCIA,SAINT LUCIA
TOGO,"TOGO:  AGUNAH, KANA; BENIN:  ABOMEY"
BENIN,"TOGO:  AGUNAH, KANA; BENIN:  ABOMEY"
ALASKA,ALASKA:  KODIAK ISLAND
SIERRA LEONE,SIERRA LEONE
SW. SUMATRA,SW. SUMATRA
CANARY ISLANDS,CANARY ISLANDS:  PENON DE LA GOMERA
ANTIGUA ISLAND &  ST. CHRISTOPHER,ANTIGUA ISLAND &  ST. CHRISTOPHER
CALIFORNIA,CALIFORNIA:  SANTA BARBARA
"E. AWA, TOKUSHIMA PREFECTURE","E. AWA, TOKUSHIMA PREFECTURE"
SOUTH AFRICA,SOUTH AFRICA:  CAPE OF GOOD HOPE
GUAM,GUAM
ARKANSAS,ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)
MISSOURI,MISSOURI:  NEW MADRID
MALAYSIA,INDONESIA; MALAYSIA:  PENANG ISLAND
SOUTH CAROLINA,SOUTH CAROLINA; GEORGIA; PENNSYLVANIA
PENNSYLVANIA,SOUTH CAROLINA; GEORGIA; PENNSYLVANIA
NORWAY,NORWAY: RANA REGION: LUROY
CONGO,CONGO:  LOANGO
MOLDOVA,ROMANIA; MOLDOVA
GRENADA,GRENADA
LAKE ERIE (GREAT LAKES),LAKE ERIE (GREAT LAKES)
GUADELOUPE,GUADELOUPE: BASSE TERRE
NORTHERN MARIANA ISLANDS,GUAM; NORTHERN MARIANA ISLANDS:  LADRONES ISLAND
NEW ZEALAND,NEW ZEALAND:  FJORDLAND
"BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA","BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA"
TRINIDAD & ST. CHRISTOPHER,TRINIDAD & ST. CHRISTOPHER
"W. HOKKAIDO ISLAND, JAPAN","W. HOKKAIDO ISLAND, JAPAN"
FLORES SEA,FLORES SEA
VIRGIN ISLANDS,VIRGIN ISLANDS
CASTRIES,"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES"
"SE. HOKKAIDO ISLAND, JAPAN","SE. HOKKAIDO ISLAND, JAPAN"
FIJI,FIJI: KADAVU
ST THOMAS,PUERTO RICO:  SAN JUAN; ST THOMAS
SAINT VINCENT,SAINT VINCENT:  KINGSTOWN
N. NEW ZEALAND,N. NEW ZEALAND
FRENCH POLYNESIA,FRENCH POLYNESIA:  TAHITI
SOUTH SUDAN,SOUTH SUDAN:  EQUATORIA
SUMATRA,INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG
N. MEXICO,N. MEXICO
TONGA TRENCH,TONGA TRENCH
COSTA RICA-PANAMA,COSTA RICA-PANAMA
ENSHUNADA,ENSHUNADA
SHINANO,SHINANO: TATE-YAMA VOLCANO
S. JAVA SEA,S. JAVA SEA
AUSTRALIA,AUSTRALIA:  TASMANIA: CIRCULAR HEAD
VANUATU ISLANDS,VANUATU ISLANDS
"NW. HOKKAIDO ISLAND, JAPAN","NW. HOKKAIDO ISLAND, JAPAN"
"OFF COAST SW AVALON PENINSULA, NEWFOUNDLAND","OFF COAST SW AVALON PENINSULA, NEWFOUNDLAND"
TONGA ISLANDS,TONGA ISLANDS
N MINDORO,PHILIPPINES:  S LUZON:  MANILA; N MINDORO
HAWAIIAN ISLANDS,HAWAIIAN ISLANDS
NEW YORK,NEW YORK:  LONG ISLAND
BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS:  TORTOLA ISLAND
NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS:  LIFOU ISLAND
VANUATU,VANUATU:  TANNA ISLAND
COTE D'IVOIRE,COTE D'IVOIRE:  ABIDJAN
GISBORNE,GISBORNE
"TOYAMA PREF., JAPAN","TOYAMA PREF., JAPAN"
SOMAKI,ARMENIA; AZERBAIJAN:  SEMACHA; SOMAKI
FIJI ISLANDS,FIJI ISLANDS
SRI LANKA,SRI LANKA:  TRINCOMALEE
ERITREA,"ERITREA:  MASSAWA, MUNCULLO"
MICHIGAN,MICHIGAN; OHIO; INDIANA
OHIO,MICHIGAN; OHIO; INDIANA
INDIANA,MICHIGAN; OHIO; INDIANA
CONNECTICUT,CONNECTICUT: NEW HAVEN
SURINAME,BRAZIL; FRENCH GUIANA; SURINAME; GUYANA
GUYANA,BRAZIL; FRENCH GUIANA; SURINAME; GUYANA
TIMOR SEA,TIMOR SEA
WASHINGTON,WASHINGTON:  PUGET SOUND
TASMAN SEA,TASMAN SEA
USA,MEXICO: BAJA CALIFORNIA; USA: CALIFORNIA: SAN DIEGO
BALKANS,BALKANS:  NW:  POPOVIC
"NEMURO, JAPAN","NEMURO, JAPAN"
W. SOLOMON SEA,W. SOLOMON SEA
"W. KYUSHU ISLAND, JAPAN","W. KYUSHU ISLAND, JAPAN"
NEW JERSEY,NEW JERSEY: HIGH BRIDGE
"KASHIMA, JAPAN","KASHIMA, JAPAN"
MONTSERRAT,MONTSERRAT
ST KITTS,GUADELOUPE; ANTIGUA; ST KITTS
SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS
"IWATE, JAPAN","IWATE, JAPAN"
N IRAN,AZERBAIJAN:  SEMACHA; N IRAN
EL SALVADOR-GUATEMALA,EL SALVADOR-GUATEMALA
UTAH,UTAH
PANAMA-COLOMBIA,PANAMA-COLOMBIA
KERMADEC ISLANDS,KERMADEC ISLANDS
KIRIBATI,KIRIBATI:  PHOENIX ISLANDS
COLOMBIA-ECUADOR,COLOMBIA-ECUADOR
TAJIKISTAN,TAJIKISTAN:   KARATAG
CAMEROON,CAMEROON:  BUEA
CANARY I,MOROCCO:  MELILLA; CANARY I:  PENON DE LA GOMERA
TANZANIA,TANZANIA: RUKWA
"MICRONESIA, FED. STATES OF","MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS"
UGANDA,UGANDA: KITGUM
NEVADA,NEVADA:  PLEASANT VALLEY
BOLIVIA-NORTHERN CHILE,BOLIVIA-NORTHERN CHILE
TIBET (XIZANG PROVINCE),NEPAL; TIBET (XIZANG PROVINCE)
SAMOA ISLANDS,SAMOA ISLANDS
MEXICO-GUATEMALA,MEXICO-GUATEMALA
CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC:  NOLA
MACTAN I,PHILIPPINES:  CEBU I:  CEBU; MACTAN I
"LHOKNGA, ACEH","LHOKNGA, ACEH"
SE. NEW ZEALAND,SE. NEW ZEALAND
VIETNAM,VIETNAM: THUAN HAI PROVINCE
MONTANA,MONTANA:  CLARKSTON VALLEY
NORTH ATLANTIC RIDGE,NORTH ATLANTIC RIDGE
LOWER EGYPT,GREECE:  RHODES ISLAND; LOWER EGYPT
"CALIFORNIA, MEXICO","CALIFORNIA, MEXICO"
KENYA,KENYA: SUBUKIA
BRITISH COLUMBIA,BRITISH COLUMBIA
INDIAN OCEAN,INDIAN OCEAN:  S
SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS
JAVA-S. JAVA SEA,JAVA-S. JAVA SEA
UK,"UK:  SCARBOROUGH, GRIMSBY"
MYANMAR,MYANMAR; INDIA:  ASSAM
PACIFIC OCEAN,PACIFIC OCEAN:  N
PANAMA-COSTA RICA,PANAMA-COSTA RICA
JAPAN TRENCH,JAPAN TRENCH
"E. HOKKAIDO ISLAND, JAPAN","E. HOKKAIDO ISLAND, JAPAN"
TURKEY-CIS,TURKEY-CIS
MAINE,NEW HAMPSHIRE; MAINE
ATLANTIC OCEAN,ATLANTIC OCEAN:  NORTHERN
INDIA-CHINA,INDIA-CHINA
COSTA RICA-NICARAGUA,COSTA RICA-NICARAGUA
CHILE-ARGENTINA,CHILE-ARGENTINA
PERU-BOLIVIA,PERU-BOLIVIA
PERU-ECUADOR,PERU-ECUADOR
"NE. HOKKAIDO ISLAND, JAPAN","NE. HOKKAIDO ISLAND, JAPAN"
EAST PACIFIC RIDGE,EAST PACIFIC RIDGE
"NW. HONSHU ISLAND, JAPAN","NW. HONSHU ISLAND, JAPAN"
NORTH CORINTH GULF,NORTH CORINTH GULF
DR CONGO,"UGANDA: KICHWAMBA, BONDIBOGYO;  TANZANIA;  DR CONGO"
INDONESIA-MALAYSIA,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA"
TABLAS I,"PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN"
"SAN CRISTOBAL, VENEZUELA","COLOMBIA; SAN CRISTOBAL, VENEZUELA"
ANTARCTICA,ANTARCTICA
GABON,GABON
ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA; ST KITTS
"CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI","TURKEY:  W; CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI"
IDAHO,IDAHO:  POCATELLO VALLEY
ITALY-BALKANS NW,ITALY-BALKANS NW
"MINDANAO ISLAND, PHILIPPINES","MINDANAO ISLAND, PHILIPPINES"
MONTENEGRO,MONTENEGRO: BAR ULCINJ
KENTUCKY,KENTUCKY:  MAYSVILLE
N GUATEMALA,HONDURAS;  N GUATEMALA:  IZABEL PROVINCE
SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO
AMERICAN SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO
VENEZUELA-N COLOMBIA,VENEZUELA-N COLOMBIA
"IBARAKI, JAPAN","IBARAKI, JAPAN"
HONDURAS-GUATEMALA-EL SALVADOR,HONDURAS-GUATEMALA-EL SALVADOR
"NOSHIRO, JAPAN","NOSHIRO, JAPAN"
BELGIUM,BELGIUM
GUINEA,GUINEA:  GAOUAL-KOUMBIA
PAKISTAN-NW AFGHANISTAN,PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI
BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK
CROATIA,BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK
WYOMING,"WYOMING:  DOUGLAS, MEDICINE BOW"
CALIFORNIA-NEVADA,CALIFORNIA-NEVADA:  CHALFANT VALLEY
MALAWI,"MALAWI:  SALIMA, DEDZA, MOHINJI"
MACQUARIE ISLAND,MACQUARIE ISLAND:  MACQUARIE STATION; NEW ZEALAND
DJIBOUTI,"DJIBOUTI: GALAFI, YABAKI;  ETHIOPIA"
DATONG,CHINA:  SHANXI AND HEBEI PROVINCES; DATONG
BERING SEA,BERING SEA
THE NETHERLANDS,"THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG"
NEVADA-CALIFORNIA BORDER,NEVADA-CALIFORNIA BORDER:  NEVADA TEST SITE
FUTUNA ISLAND,FUTUNA ISLAND
WASHINGTON-OREGON BORDER,WASHINGTON-OREGON BORDER
SUDAN,SUDAN:  KHARTOUM
OREGON,OREGON:  KLAMATH FALLS
ZAMBIA,"UGANDA:  FORT PORTAL, KASESE; ZAMBIA"
BOLIVIA-PERU,"BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA"
TAIWAN REGION,TAIWAN REGION
S ISLAND,NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH
NIUE,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE
"HONSHU ISLAND, JAPAN","HONSHU ISLAND, JAPAN"
TOBAGO,TOBAGO
INDIA-BANGLADESH,"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH"
AFGHANISTAN-TAJIKISTAN,"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR"
BALLENY ISLANDS,BALLENY ISLANDS
ARMENIA-AZERBAIJAN-IRAN,"ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI"
MICHOACAN,MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO
INDIA-BANGLADESH BORDER,INDIA-BANGLADESH BORDER:  MAHESHKHALI
SWAZILAND,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI
LAOS,LAOS;  VIETNAM: DIENBIEN PHU
SICHUAN,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN
RWANDA,RWANDA:  GISENYI
MACEDONIA,BALKANS NW:  KOSOVO; MACEDONIA:  N
ALABAMA,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD"
SCOTIA SEA,SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS
BURUNDI,BURUNDI:  RUYAGA
POLAND,"POLAND: SUWALKI; RUSSIA: KALININGRAD, SVETLOGORSK"
GREECE-BULGARIA BORDER REGION,GREECE-BULGARIA BORDER REGION
MOZAMBIQUE,MOZAMBIQUE
GULF OF MEXICO,GULF OF MEXICO
ILLINOIS,ILLINOIS:  WEST SALEM
CZECH REPUBLIC,CZECH REPUBLIC:  KARVINA
BELIZE,HONDURAS:  NORTHERN; BELIZE
"ANATAHAN REGION, N. MARIANA ISLANDS","ANATAHAN REGION, N. MARIANA ISLANDS"
"GUAM, NORTHERN MARIANA ISLANDS","GUAM, NORTHERN MARIANA ISLANDS"
OKLAHOMA,OKLAHOMA:  LUTHER
COLORADO,COLORADO:  PAONIA
VIRGINIA,"VIRGINIA:  LOUISA COUNTY, MARYLAND, WASHINGTON D.C."
TEXAS,TEXAS:  WEST
MEXICO CITY,MEXICO:  GUERRERO; MEXICO CITY
"GREECE, TURKEY","GREECE, TURKEY"
COLOMBIA-PANAMA,COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA
PERU-BRAZIL,PERU-BRAZIL
MADAGASCAR,MADAGASCAR: ANTSIRABE
COMOROS,COMOROS:  MAYOTTE
ZIMBABWE,MOZAMBIQUE; ZIMBABWE
CAYMAN IS,CUBA: GRANMA;  CAYMAN IS;  JAMAICA
NORTH CAROLINA,NORTH CAROLINA:  SPARTA
TOJIKOBOD,TAJIKISTAN: RASHT; TOJIKOBOD
WEST AZERBAIJAN,IRAN:  KHOY; WEST AZERBAIJAN
TONGA,TONGA: HIHIFO
